customer_id,age,gender,product_category,amount_spent
1,56,Female,Clothing,91.53033051437762
2,69,Male,Clothing,124.00266760703752
3,46,Female,Grocery,178.55538530044595
4,32,Male,Clothing,135.27474359898918
5,60,Female,Clothing,93.55415169561023
6,25,Female,Electronics,183.78532903561768
7,78,Female,Electronics,178.9907423854974
8,38,Female,Electronics,156.9760718165272
9,56,Male,Grocery,114.1017877091446
10,75,Female,Electronics,61.44451836468688
11,36,Female,Grocery,-18.30200852807222
12,40,Female,Clothing,110.57185099425351
13,28,Female,Grocery,138.6996784154633
14,28,Male,Grocery,33.14407788785462
15,41,Male,Clothing,120.77423510579325
16,70,Male,Electronics,77.72830287272436
17,53,Female,Electronics,125.51251434854117
18,57,Female,Electronics,69.17252927591174
19,41,Male,Clothing,63.69729603276506
20,20,Male,Grocery,96.9456951009717
21,39,Male,Clothing,41.180723286509334
22,70,Male,Clothing,148.0782393815143
23,19,Male,Clothing,101.01209415985228
24,41,Female,Clothing,42.77098405054526
25,61,Female,Grocery,69.22101006387557
26,47,Male,Electronics,129.5111835296862
27,55,Female,Electronics,84.9283303977432
28,19,Female,Clothing,135.4958838182503
29,77,Male,Grocery,50.243863753215834
30,38,Male,Clothing,86.01417820803086
31,50,Male,Grocery,96.38985059332529
32,29,Male,Clothing,211.34531621247203
33,75,Female,Electronics,63.602367445711
34,39,Female,Electronics,131.32671149817412
35,78,Female,Clothing,123.57320234793855
36,61,Female,Electronics,187.38998169906228
37,42,Male,Clothing,167.978756948404
38,66,Female,Grocery,76.87207494987086
39,44,Male,Grocery,47.53473057502984
40,76,Female,Grocery,29.212498729625054
41,59,Female,Grocery,111.79867405725619
42,45,Male,Clothing,150.69037371888012
43,77,Male,Electronics,157.19072062718627
44,33,Male,Grocery,86.94534692123618
45,32,Female,Electronics,102.21872734380646
46,79,Male,Clothing,171.30252202970144
47,79,Female,Electronics,61.84021420535681
48,64,Female,Electronics,-23.766450862942918
49,79,Male,Electronics,157.65989427892816
50,68,Female,Clothing,41.98153741335672
51,61,Male,Clothing,85.47070099452527
52,72,Male,Clothing,122.82955389237215
53,69,Female,Electronics,76.89098463657247
54,74,Female,Grocery,154.0169344705214
55,20,Female,Grocery,233.56636691478144
56,54,Male,Electronics,59.647753536014704
57,68,Male,Grocery,106.69456891210788
58,24,Male,Grocery,100.24938212642762
59,38,Female,Electronics,115.64019111861363
60,26,Male,Clothing,69.82987468686802
61,56,Female,Grocery,67.49071428628909
62,35,Male,Clothing,68.6741447023287
63,21,Male,Grocery,76.92686795624864
64,42,Female,Electronics,77.71756543308224
65,77,Female,Electronics,-25.260875676469595
66,31,Female,Clothing,104.43071032780502
67,67,Male,Clothing,84.94031854520154
68,75,Female,Clothing,64.0778601318112
69,26,Female,Clothing,104.65175000488303
70,43,Female,Electronics,99.72530640762668
71,70,Female,Electronics,80.11638346067744
72,19,Male,Electronics,100.43862803867457
73,37,Male,Clothing,70.90529758657715
74,45,Female,Electronics,41.550248599274234
75,64,Female,Electronics,198.05416136869417
76,77,Male,Grocery,75.2031426560398
77,24,Female,Grocery,113.27708372788335
78,61,Female,Grocery,229.82300113782114
79,78,Female,Clothing,79.31513852654972
80,25,Male,Clothing,123.00996326634208
81,64,Male,Electronics,216.3345698519774
82,52,Male,Electronics,17.502205516624386
83,31,Female,Clothing,166.69112167771027
84,34,Female,Grocery,111.10620793202548
85,53,Female,Electronics,74.74100694160161
86,67,Male,Grocery,102.42390308423818
87,57,Male,Electronics,81.90818972879228
88,21,Female,Grocery,178.81262371506304
89,19,Female,Electronics,99.19947203107805
90,79,Female,Grocery,134.89104100580016
91,23,Female,Grocery,73.55474405486785
92,71,Female,Clothing,114.61855429730494
93,59,Male,Electronics,80.85964948507225
94,21,Male,Grocery,29.00408565950113
95,71,Male,Clothing,165.42039331212834
96,46,Male,Electronics,117.40620430971654
97,35,Female,Clothing,138.5612422458383
98,43,Male,Grocery,63.57903749173885
99,61,Male,Electronics,159.2356749724774
100,51,Female,Grocery,123.39164847034048
101,27,Male,Grocery,107.51160375241426
102,79,Female,Clothing,151.46352403759684
103,53,Male,Grocery,83.53756636974121
104,31,Female,Electronics,164.7365973854104
105,48,Female,Clothing,66.88739469805438
106,65,Female,Grocery,101.66370389041431
107,32,Male,Grocery,53.174993710278315
108,25,Male,Grocery,42.58911776642385
109,31,Female,Clothing,76.71196208685144
110,40,Male,Electronics,91.9555855843428
111,77,Female,Clothing,127.58889249991742
112,74,Female,Grocery,67.84757111396628
113,79,Female,Clothing,129.34539776452146
114,57,Female,Grocery,84.0025803519804
115,38,Female,Clothing,75.29648772569753
116,33,Female,Grocery,131.47209709352066
117,62,Female,Clothing,72.7780951222445
118,35,Male,Grocery,191.26024645296167
119,64,Male,Grocery,121.61659586755981
120,70,Male,Clothing,31.620170586530094
121,41,Male,Clothing,94.040427250228
122,43,Male,Grocery,67.63940729642451
123,42,Male,Electronics,17.93531771918107
124,77,Female,Grocery,152.89400933669526
125,77,Male,Grocery,154.04507655965227
126,77,Female,Electronics,63.76177542806181
127,62,Male,Grocery,135.53112466149219
128,58,Female,Clothing,143.84833615448
129,46,Male,Clothing,99.36773644231221
130,32,Male,Electronics,147.61401288914948
131,62,Male,Grocery,114.7256633615804
132,18,Male,Clothing,157.27219611488408
133,42,Male,Grocery,41.37641038514245
134,24,Female,Electronics,107.39842408523415
135,26,Female,Clothing,110.07659705505961
136,41,Male,Electronics,42.17562104943758
137,18,Female,Grocery,46.95753371027816
138,61,Female,Grocery,20.797488720063058
139,25,Female,Grocery,102.26014603491232
140,41,Female,Electronics,77.98282619815427
141,28,Male,Clothing,35.46176909896772
142,68,Male,Electronics,160.86293665075925
143,34,Female,Clothing,120.01516078352742
144,25,Male,Grocery,63.772533773299834
145,52,Male,Grocery,110.16209798851807
146,52,Male,Electronics,88.10086284766828
147,50,Male,Clothing,21.88070691445202
148,76,Female,Grocery,113.69323809411677
149,22,Female,Grocery,181.99288977292608
150,59,Female,Electronics,170.60036751264397
151,56,Male,Electronics,105.16912445164054
152,75,Female,Clothing,78.20046874308696
153,58,Female,Grocery,128.14327673215206
154,45,Female,Clothing,113.32714004012651
155,24,Female,Clothing,93.06939485612254
156,26,Male,Clothing,193.00622251332976
157,25,Female,Electronics,80.19466136773245
158,29,Male,Clothing,147.8559385313115
159,51,Male,Clothing,107.19292623546117
160,50,Female,Clothing,107.43434030958562
161,65,Male,Electronics,17.45365583279026
162,72,Male,Electronics,155.07086249786687
163,40,Female,Grocery,141.83775554217385
164,79,Female,Electronics,109.40095384033084
165,41,Female,Electronics,151.73995783176707
166,54,Female,Clothing,120.77730413282598
167,52,Female,Grocery,35.12980997670387
168,61,Male,Electronics,51.47028871475376
169,57,Female,Grocery,96.96923976727487
170,39,Male,Clothing,15.427398152197938
171,44,Male,Electronics,156.12168883389842
172,52,Female,Clothing,89.22249281699362
173,18,Male,Clothing,106.8465085259591
174,52,Male,Grocery,50.925546724944695
175,54,Female,Electronics,132.32486931537116
176,64,Female,Grocery,92.86429047609245
177,31,Male,Clothing,83.69590488559261
178,20,Male,Electronics,170.5476627455177
179,18,Male,Clothing,165.47164306766533
180,22,Male,Grocery,137.48584923026053
181,43,Male,Grocery,110.45274816650564
182,72,Female,Clothing,74.19550760572399
183,31,Female,Grocery,85.55858523738392
184,56,Female,Grocery,83.26236144363568
185,44,Female,Clothing,119.60852931696598
186,26,Male,Electronics,98.4136408213042
187,32,Female,Electronics,99.65993772039828
188,32,Female,Electronics,177.04445705172762
189,43,Male,Clothing,157.18611826824983
190,59,Male,Clothing,60.94030419549621
